occ_code,occupation_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,annual_mean_wage,total_employment,computer_use_score,physical_presence_index,customer_facing_index,education_index,task_usage_pct,frontline_origin_task_usage_pct,major_group,frontline_soc,calibrated_employment_pct,any_ai_use,log_wage,ai_access_gap,frontline_physical,frontline_customer
27-1012,Craft Artists,0.0539,0.5172413793103449,0.3793103448275862,43610.0,5830.0,3.09,1.8150000000000002,2.98,3.0001999800019994,0.09269272362119566,0.0,27,0,0.0038391808175730724,1.0,10.683041760836812,0.46334137931034486,0.0,0.0
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.3565,0.8500000000000001,0.5750000000000001,71420.0,10910.0,3.46,1.8875000000000002,2.98,4.168799999999999,0.3682833778904286,0.0,27,0,0.0071844704493520106,1.0,11.17633322114844,0.4935000000000001,0.0,0.0
27-1014,Special Effects Artists and Animators,0.3571,1.0,0.9,109630.0,29940.0,4.84,1.475,4.093333333333334,4.9737,0.5949092318286919,0.0,27,0,0.019716136136901853,1.0,11.604866338668586,0.6429,0.0,0.0
27-1019,,,,,78890.0,7420.0,,,,,0.0,0.0,27,0,0.004886230131456638,,11.275809756089135,,,
27-1021,Commercial and Industrial Designers,0.0437,0.9310344827586208,0.7586206896551724,81870.0,30810.0,4.38,1.9899999999999998,4.46,5.3921,0.05079770729523134,0.0,27,0,0.020289049912423047,1.0,11.312887902370495,0.8873344827586208,0.0,1.0
27-1022,Fashion Designers,0.0568,0.78125,0.625,97030.0,19940.0,3.93,1.9575,3.6666666666666665,5.3621637836216385,0.038752890101516564,0.0,27,0,0.01313092032631339,1.0,11.482775488019346,0.72445,0.0,0.0
27-1023,Floral Designers,0.0,0.3333333333333333,0.4333333333333333,35500.0,43350.0,3.01,3.205,4.69,2.64,0.002880282372409949,0.0,27,0,0.028546910538900978,0.0,10.477287975463508,0.3333333333333333,0.0,1.0
27-1024,Graphic Designers,0.3672,1.0,0.8214285714285714,64700.0,212720.0,4.75,1.5375,3.853333333333333,5.45,0.08313542302183478,0.0,27,0,0.14008071072283773,1.0,11.077516480488992,0.6328,0.0,0.0
27-1025,Interior Designers,0.0,1.0,0.5862068965517241,68530.0,67760.0,4.42,2.1100000000000003,4.423333333333333,6.12,0.02526793172159703,0.0,27,0,0.04462142233254741,0.0,11.135026884579869,1.0,0.0,1.0
27-1026,Merchandise Displayers and Window Trimmers,0.0,0.6097560975609756,0.4390243902439024,39040.0,175790.0,3.2,3.0725000000000002,4.376666666666667,3.6234,0.010735597933528239,0.0,27,0,0.11576150873433455,0.0,10.57234204052703,0.6097560975609756,0.0,0.0
27-1027,Set and Exhibit Designers,0.0,0.7826086956521738,0.5652173913043478,67170.0,10090.0,3.9,2.2625,3.7966666666666664,7.142828565713144,0.0391456558795727,0.0,27,0,0.006644482752883756,0.0,11.11498199826091,0.7826086956521738,0.0,0.0
27-1029,,,,,75960.0,9880.0,,,,,0.0,0.0,27,0,0.0065061932208614,,11.237962164926222,,,
